Cod,R2,RMSE,MAE,MedAE,SMAPE
35108,0.6049052287937107,8.36713937648173,5.564390825780137,2.893544769287111,40.19910914007621
34186,0.9694166180763207,2.238707911749569,0.9346437052407904,0.4922466278076172,4.715713614297934
27995,0.9690574246117405,2.2067779201119664,0.9853185371762637,0.5693196296691895,5.7358157690687275
35007,0.9718601631407708,2.189619244978913,0.9650950386359796,0.5363048553466783,5.264935862774032
34391,0.972132767518868,2.1882313748050777,0.8843301147497024,0.462361717224121,4.287819914464301
34163,0.9686846366053088,2.129381364647409,0.9253583760056175,0.49924316406250036,5.287682434611114
34289,0.9739413153995982,2.098981413120869,0.9037279575833166,0.5016017913818374,4.449569067164279
34152,0.967095325889319,2.077129291102877,0.9078720229046541,0.48586711883544886,5.367680849537728
27947,0.9650475749238663,2.0539698342201245,0.907790375242549,0.49793739318847585,5.489036024091869
28900,0.9737448162767762,2.020358681746984,0.890229226310128,0.4984321594238281,5.111346743646504
27857,0.9673448478732303,2.0191520032305097,0.906912969136256,0.4847205162048338,5.656707934449601
34059,0.969679300149696,2.0068552749796225,0.8718998865550628,0.4548137664794929,5.136278465946576
34240,0.9681291851859481,1.9968455001856447,0.8524075677390712,0.44754009246826154,4.795463297524676
27962,0.9711692717028823,1.9621547164898665,0.9012939737066867,0.5091784477233887,5.6638908410469595
